cxcfile-hobbit24hour,image name-24hour,cellnum24hour,slice24hour,sumhobbit24hour,maxhobbit24hour,sumdilatedhobbit24hour,maxdilatedhobbit24hour,area24hour,sumlinc24hour,maxlinc24hour,sumdilatedlinc24hour,maxdilatedlinc24hour,url24hour
2,24hour-2.png,6,11,1153523.5,7622.8755,1588245,7622.8755,152.527,1550431,13496.001,2549563.2,13496.001,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-2.png
2,24hour-2.png,7,3,787597.25,6656.063,1073054.5,6656.063,175.106,1762831.6,18297.842,1889362.1,18297.842,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-2.png
2,24hour-2.png,8,4,306411.4,5093.14,580015.25,8204.147,162.092,788407.5,6207.719,1107661.5,6207.719,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-2.png
2,24hour-2.png,9,6,498987.8,5118.9277,1837796.5,37854.582,88.533,932500.56,3724.307,1557462.4,3724.307,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-2.png
2,24hour-2.png,10,13,523740.88,6153.8936,646399.56,6153.8936,102.175,533802.25,4400.6284,1195677.2,4400.6284,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-2.png
3,24hour-3.png,1,18,572774.2,7020.069,925110.44,7020.069,123.617,368026.7,6537.314,663944.2,6537.314,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,2,17,928870.7,7773.6787,1085374.5,7773.6787,65.052,352792.3,2500.538,473578.34,2500.538,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,3,21,1280058.8,9724.421,1568080.9,9724.421,117.149,854052.1,5056.972,1102288.5,5056.972,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,4,19,1002850.44,5546.489,1426830.9,7151.3623,87.651,972709.25,7889.861,1189085.6,7889.861,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,5,17,284620.5,4992.553,491571,5335.789,116.953,341116.03,2419.6301,419714.8,2419.6301,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,6,18,130685.32,4026.9631,139965.62,4026.9631,103.743,502928.06,6496.04,519372.75,6496.04,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,7,15,576399.1,6391.043,796287.06,6391.043,110.701,639450.9,3483.5513,701178.9,3483.5513,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,8,19,2199423.8,20854.78,2512468,20854.78,116.894,1429762.2,9131.974,1771125.2,9131.974,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,9,19,2058980.8,11876.168,2793674.8,11876.168,213.973,1716248.8,4496.5967,1954177.1,4496.5967,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,10,18,646437.2,9901.384,1102132.2,9901.384,89.2,1026306,9759.107,2987118.5,24952.027,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,11,18,1061140.8,9936.34,2242141.2,9936.34,131.555,789358.06,4451.1187,1251567,4451.1187,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,12,14,1504830.6,10442.847,2133687.2,10442.847,191.453,1975140.8,10448.026,2707365,10448.026,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,13,10,82892.125,3365.7192,520466.94,5539.979,74.852,184554.03,2338.6948,560391.94,2668.1392,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,14,14,595805.06,8790.891,862945.75,11462.276,99.372,482263.06,5013.6577,521260.88,5013.6577,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,15,22,1738309.2,13136.78,1869915.4,13136.78,122.52,786195.2,8647.385,1055777.4,10219.02,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
3,24hour-3.png,16,16,914213.44,3021.5237,1220732.1,4278.9365,75.95,253763.64,1869.6415,415704.9,2224.127,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-3.png
4,24hour-4.png,1,18,376565.97,2946.394,628095.1,2994.8887,108.133,674027.8,7458.5874,882889.7,7458.5874,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,2,17,3294506.8,10609.385,3424138.2,10609.385,167.502,1201288.8,4246.638,1279204.6,4246.638,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,3,18,1345361.1,18455.977,1522602.4,18455.977,120.736,3528853,22387.777,3890233.8,22387.777,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,4,15,407431.88,6335.5674,833750.3,8259.802,110.191,260415.84,2130.764,519243.2,2662.11,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,5,8,3374965.2,25171.469,3719569.2,25171.469,167.07,3712066,28486.035,3948650,28486.035,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,6,21,1661186.4,23370.926,2202808.8,23370.926,206.917,2344295,6402.878,3585990.5,12172.548,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,7,13,671144.44,7594.8257,2997336.8,23370.926,110.818,1487053.9,6320.307,2270996.5,6402.878,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,8,17,1237166.4,15758.743,1354418.5,15758.743,134.103,503500.03,3001.1855,609122,3001.1855,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,9,18,488905.7,4492.477,759668.5,4492.477,145.804,1422941.8,12172.548,1901123.1,12172.548,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,10,20,2239095,14506.714,2422418.8,14506.714,170.638,1373287.5,13645.932,1461820.1,13645.932,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,11,19,485183.88,5179.295,554481.5,5179.295,210.504,232212.27,2648.4287,251622.05,2648.4287,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,12,11,203069.5,3638.4724,306061.75,3638.4724,161.132,968658.06,10883.166,1387488.4,10883.166,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,13,22,1584870.6,10350.086,1712530.6,10350.086,135.103,309784.47,2772.4934,767296,5982.511,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
4,24hour-4.png,14,22,503965.4,10256.376,620101.44,10256.376,144.04,1296967,9018.596,1566790.5,9018.596,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-4.png
5,24hour-5.png,1,22,226836.12,4741.1855,478700.22,4963.1206,115.366,362025.88,4991.3516,493349.97,4991.3516,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,2,22,1242886.8,11577.238,1271325,11577.238,97.706,170708.64,3012.4094,187275.22,3012.4094,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,3,15,1011827.75,8351.471,1180068.9,8351.471,168.462,398052.44,2493.5874,439419.38,2493.5874,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,4,14,1373334,13038.364,1582151.1,13038.364,123.97,1056036,13549.313,1212663.4,13549.313,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,5,8,628460.6,5806.2305,1486838.9,13038.364,150.234,1075960.9,8019.313,1467494.9,8019.313,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,6,17,2051628.5,7938.421,2475444.2,7938.421,126.988,807681.06,3818.285,916695.06,3818.285,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,7,20,618119.9,6750.5996,717064.6,6750.5996,102.136,241832.3,2718.6753,307157.94,2718.6753,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,8,12,709957.25,6974.817,877672.25,6974.817,123.304,354494.8,6284.2974,406166.34,6284.2974,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,9,11,369321.38,5828.9893,533668.25,5828.9893,94.237,249211.08,2875.8455,385603.5,2875.8455,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,10,22,608879.1,4685.8276,701910.25,4685.8276,180.555,824202.94,6441.4717,843952.44,6441.4717,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,11,16,96170.586,2208.7568,173846.03,2328.26,94.139,330576.97,4566.797,427782.25,4566.797,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,12,11,632867,5146.7236,1028851.5,5951.576,160.132,1208680,8846.014,1322943.8,8846.014,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,13,17,337241.53,2670.875,425253.6,2670.875,109.897,1166721.8,10285.48,1188040.6,10285.48,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,14,19,104287.055,3398.8171,208528.03,4929.519,118.894,463810.06,5833.8716,586888.94,5833.8716,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
